,score,methods
0,0.00576781542320036,CN
1,0.0029919203523467086,JS
2,0.0061002948751262475,AA
3,0.0026151604961926014,AS
4,0.01100202278938596,DP
5,0.006418830691695694,RA
6,0.015487760359595891,L3
7,0.008125392516161662,katz
8,0.009763130606599963,NR
9,0.0018687664946751,SR
10,0.007296099812628729,RPR
11,0.0153216612733088,DLP
