,score,methods
0,0.00023527042865338518,CN
1,0.00024926617140081763,JS
2,0.0002525482329148456,AA
3,0.0001601756868493273,AS
4,0.00012457238466980476,DP
5,0.0002583118212913817,RA
6,0.00016912721375918766,L3
7,0.0002331348065647342,katz
8,0.00021959080591866023,NR
9,0.00016191944216491984,SR
10,0.00018848520100604922,RPR
11,0.00026157289860566656,my
