,score,methods
0,0.740231573,CN
1,0.585184074,JS
2,0.744762764,AA
3,0.530682167,AS
4,0.797416009,DP
5,0.739734102,RA
6,0.806620763,L3
7,0.776086571,katz
8,0.813874438,NR
9,0.513121069,SR
10,0.822534,RPR
11,0.815694119,my
