,score,methods
0,0.089181965,CN
1,0.073430104,JS
2,0.094011264,AA
3,0.019982559,AS
4,0.049148165,DP
5,0.095776575,RA
6,0.081958623,L3
7,0.074518916,katz
8,0.092868121,NR
9,0.022062254,SR
10,0.06355637,RPR
11,0.096063312,my
