,score,methods
0,0.467570739,CN
1,0.369662293,JS
2,0.478246355,AA
3,0.049276225,AS
4,0.130318461,DP
5,0.504679265,RA
6,0.291416523,L3
7,0.336808961,katz
8,0.400467117,NR
9,0.053247077,SR
10,0.262181457,RPR
11,0.504099883,my
