,score,methods
0,0.957365409,CN
1,0.962567264,JS
2,0.959113574,AA
3,0.845592502,AS
4,0.889506661,DP
5,0.967619884,RA
6,0.939237919,L3
7,0.942324705,katz
8,0.957934153,NR
9,0.849699139,SR
10,0.944432374,RPR
11,0.967619371,my
