,score,methods
0,0.0003614384114112502,CN
1,0.00028949325700402525,JS
2,0.00041831616582761944,AA
3,0.0002463464186996051,AS
4,0.0003926767468241401,DP
5,0.0004152530815581341,RA
6,0.0002485377602891891,L3
7,0.000239523389145423,katz
8,0.00021528100930137507,NR
9,0.0005293495917274337,SR
10,0.0002506792162744281,RPR
11,0.00020238941676391,my
